iter	Passed	Remaining
843	1142	211
844	1143	209
845	1144	208
846	1145	206
847	1146	205
848	1149	204
849	1151	203
850	1152	201
851	1154	200
852	1155	199
853	1156	197
854	1157	196
855	1158	194
856	1160	193
857	1161	192
858	1162	190
859	1163	189
860	1165	188
861	1166	186
862	1167	185
863	1168	183
864	1169	182
865	1171	181
866	1173	179
867	1174	178
868	1175	177
869	1177	175
870	1178	174
871	1179	173
872	1180	171
873	1181	170
874	1183	169
875	1184	167
876	1185	166
877	1186	164
878	1188	163
879	1189	162
880	1190	160
881	1191	159
882	1193	158
883	1194	156
884	1196	155
885	1197	154
886	1199	152
887	1200	151
888	1201	149
889	1202	148
890	1203	147
891	1204	145
892	1205	144
893	1207	143
894	1208	141
895	1209	140
896	1210	139
897	1212	137
898	1213	136
899	1214	134
900	1215	133
901	1217	132
902	1218	130
903	1219	129
904	1220	128
905	1222	126
906	1223	125
907	1224	124
908	1225	122
909	1226	121
910	1227	119
911	1228	118
912	1229	117
913	1230	115
914	1231	114
915	1233	113
916	1234	111
917	1235	110
918	1236	109
919	1237	107
920	1239	106
921	1240	104
922	1241	103
923	1242	102
924	1243	100
925	1244	99
926	1245	98
927	1246	96
928	1248	95
929	1249	94
930	1250	92
931	1252	91
932	1253	90
933	1254	88
934	1255	87
935	1256	85
936	1258	84
937	1259	83
938	1260	81
939	1261	80
940	1262	79
941	1264	77
942	1265	76
943	1266	75
944	1267	73
945	1268	72
946	1270	71
947	1271	69
948	1272	68
949	1273	67
950	1274	65
951	1275	64
952	1277	62
953	1278	61
954	1279	60
955	1280	58
956	1282	57
957	1283	56
958	1284	54
959	1285	53
960	1286	52
961	1288	50
962	1289	49
963	1290	48
964	1291	46
965	1292	45
966	1294	44
967	1295	42
968	1296	41
969	1297	40
970	1299	38
971	1300	37
972	1301	36
973	1302	34
974	1303	33
975	1304	32
976	1306	30
977	1307	29
978	1309	28
979	1310	26
980	1311	25
981	1312	24
982	1314	22
983	1315	21
984	1316	20
985	1317	18
986	1318	17
987	1319	16
988	1320	14
989	1322	13
990	1323	12
991	1324	10
992	1325	9
993	1326	8
994	1327	6
995	1328	5
996	1329	4
997	1330	2
998	1331	1
999	1333	0
